norm_time,Character_status,ecg,hr,rr,marker
3.915,Walk,,,,
3.91713194,Walk,0.303,,,
3.92482798,Walk,0.283,,,
3.932524048,Walk,0.262,88.0,688.0,
3.94021967,Walk,0.218,,697.0,
3.947915292,Walk,0.17,,,
3.955610914,Walk,0.134,,,
3.963306536,Walk,0.096,,,
3.971002158,Walk,0.038,,,
3.97869778,Walk,-0.007,,,
3.986393402,Walk,-0.031,,,
3.994089024,Walk,-0.05,,,
3.999,Walk,,,,
4.001784646,Walk,-0.064,,,
4.009480268,Walk,-0.067,,,
4.01717589,Walk,-0.067,,,
4.024871512,Walk,-0.06,,,
4.032567134,Walk,-0.057,,,
4.040262756,Walk,-0.052,,,
4.047958378,Walk,-0.038,,,
4.055654,Walk,-0.031,,,
4.063349622,Walk,-0.038,,,
4.071045244,Walk,-0.033,,,
4.078740866,Walk,-0.016,,,
4.082,Walk,,,,
4.086436488,Walk,-0.012,,,
4.09413211,Walk,-0.014,,,
4.101827732,Walk,-0.012,,,
4.109523354,Walk,0.0,,,
4.117218976,Walk,0.0,,,
4.124914598,Walk,-0.007,,,
4.13261022,Walk,0.0,,,
4.140305842,Walk,0.009,,,
4.148001464,Walk,0.007,,,
4.155697086,Walk,0.009,,,
4.163392708,Walk,0.012,,,
4.165,Walk,,,,
4.17108833,Walk,0.007,,,
4.178783952,Walk,0.0,,,
4.186479574,Walk,-0.007,,,
4.194175196,Walk,-0.002,,,
4.201870818,Walk,0.009,,,
4.20956644,Walk,0.021,,,
4.217262062,Walk,0.04,,,
4.224957684,Walk,0.062,,,
4.232653306,Walk,0.079,,,
4.240348928,Walk,0.079,,,
4.248,Walk,,,,
4.24804455,Walk,0.062,,,
4.255740172,Walk,0.04,,,
4.263435794,Walk,0.024,,,
4.271131416,Walk,0.019,,,
4.278827038,Walk,0.028,,,
4.28652266,Walk,0.04,,,
4.294218282,Walk,0.048,,,
4.301913904,Walk,0.055,,,
4.309609526,Walk,0.055,,,
4.317305148,Walk,0.05,,,
4.32500077,Walk,0.062,,,
4.332,Walk,,,,
4.332696392,Walk,0.235,,,
4.340392014,Walk,0.75,,,
4.348087636,Walk,1.286,,,
4.355783258,Walk,0.858,,,
4.36347888,Walk,-0.425,,,
4.371174502,Walk,-0.853,,,
4.378870124,Walk,-0.259,,,
4.386565746,Walk,-0.019,,,
4.394261368,Walk,-0.108,,,
4.40195699,Walk,0.028,,,
4.409652612,Walk,0.12,,,
4.416,Walk,,,,
4.417348234,Walk,0.091,,,
4.425043856,Walk,0.132,,,
4.432739478,Walk,0.177,,,
4.4404351,Walk,0.17,,,
4.448130722,Walk,0.18,,,
4.455826344,Walk,0.204,,,
4.463521966,Walk,0.206,,,
4.471217588,Walk,0.216,,,
4.47891321,Walk,0.238,,,
4.486608832,Walk,0.25,,,
4.494304478,Walk,0.257,,,
4.499,Walk,,,,
4.5020001,Walk,0.276,,,
4.509695722,Walk,0.298,,,
4.517391344,Walk,0.317,,,
4.525086966,Walk,0.339,,,
4.532782588,Walk,0.358,,,
4.54047821,Walk,0.36,,,
4.548173832,Walk,0.351,,,
4.555869454,Walk,0.341,,,
4.563565076,Walk,0.319,,,
4.571260698,Walk,0.278,,,
4.57895632,Walk,0.235,,,
4.582,Walk,,,,
4.586651942,Walk,0.202,,,
4.594347564,Walk,0.165,,,
4.602043186,Walk,0.113,,,
4.609738808,Walk,0.064,,,
4.61743443,Walk,0.031,,,
4.625130052,Walk,-0.002,,,
4.632825674,Walk,-0.033,,,
4.640521296,Walk,-0.05,,,
4.648216918,Walk,-0.057,,,
4.65591254,Walk,-0.062,,,
4.663608162,Walk,-0.067,,,
4.666,Walk,,,,
4.671303784,Walk,-0.064,,,
4.678999406,Walk,-0.062,,,
4.686695028,Walk,-0.062,,,
4.69439065,Walk,-0.055,,,
4.702086272,Walk,-0.045,,,
4.709781894,Walk,-0.04,,,
4.717477516,Walk,-0.038,,,
4.725173138,Walk,-0.036,,,
4.73286876,Walk,-0.021,,,
4.740564382,Walk,-0.012,,,
4.748260004,Walk,-0.012,,,
4.749,Walk,,,,
4.755955626,Walk,-0.009,,,
4.763651248,Walk,-0.002,,,
4.77134687,Walk,0.0,,,
