Avatar,id,Animation,Rating
robot,25,LeftHandToBody,5
robot,26,LeftHandToBody,2
robot,27,LeftHandToBody,4
robot,28,LeftHandToBody,3
robot,29,LeftHandToBody,3
robot,30,LeftHandToBody,1
robot,31,LeftHandToBody,2
woman,1,LeftHandToBody,4
woman,2,LeftHandToBody,1
woman,3,LeftHandToBody,2
woman,4,LeftHandToBody,3
woman,5,LeftHandToBody,2
woman,6,LeftHandToBody,2
woman,7,LeftHandToBody,3
woman,8,LeftHandToBody,3
woman,9,LeftHandToBody,2
woman,10,LeftHandToBody,3
woman,11,LeftHandToBody,2
woman,12,LeftHandToBody,1
woman,13,LeftHandToBody,4
woman,14,LeftHandToBody,2
woman,15,LeftHandToBody,3
woman,16,LeftHandToBody,4
woman,17,LeftHandToBody,1
woman,18,LeftHandToBody,3
woman,19,LeftHandToBody,2
woman,20,LeftHandToBody,3
woman,21,LeftHandToBody,5
woman,22,LeftHandToBody,3
woman,23,LeftHandToBody,2
woman,24,LeftHandToBody,4
woman,25,LeftHandToBody,1
woman,26,LeftHandToBody,1
woman,27,LeftHandToBody,2
woman,28,LeftHandToBody,1
woman,29,LeftHandToBody,3
woman,30,LeftHandToBody,1
woman,31,LeftHandToBody,2
man,1,LeftHandToFace,4
man,2,LeftHandToFace,4
man,3,LeftHandToFace,3
man,4,LeftHandToFace,3
man,5,LeftHandToFace,4
man,6,LeftHandToFace,2
man,7,LeftHandToFace,1
man,8,LeftHandToFace,5
man,9,LeftHandToFace,1
man,10,LeftHandToFace,2
man,11,LeftHandToFace,4
man,12,LeftHandToFace,4
man,13,LeftHandToFace,3
man,14,LeftHandToFace,3
man,15,LeftHandToFace,3
man,16,LeftHandToFace,4
man,17,LeftHandToFace,3
man,18,LeftHandToFace,4
man,19,LeftHandToFace,2
man,20,LeftHandToFace,1
man,21,LeftHandToFace,5
man,22,LeftHandToFace,3
man,23,LeftHandToFace,3
man,24,LeftHandToFace,1
man,25,LeftHandToFace,4
man,26,LeftHandToFace,3
man,27,LeftHandToFace,4
man,28,LeftHandToFace,5
man,29,LeftHandToFace,3
man,30,LeftHandToFace,1
man,31,LeftHandToFace,3
robot,1,LeftHandToFace,5
robot,2,LeftHandToFace,1
robot,3,LeftHandToFace,3
robot,4,LeftHandToFace,3
robot,5,LeftHandToFace,2
robot,6,LeftHandToFace,3
robot,7,LeftHandToFace,4
robot,8,LeftHandToFace,4
robot,9,LeftHandToFace,1
robot,10,LeftHandToFace,3
robot,11,LeftHandToFace,3
robot,12,LeftHandToFace,3
robot,13,LeftHandToFace,1
robot,14,LeftHandToFace,4
robot,15,LeftHandToFace,3
robot,16,LeftHandToFace,4
robot,17,LeftHandToFace,3
robot,18,LeftHandToFace,3
robot,19,LeftHandToFace,2
robot,20,LeftHandToFace,1
robot,21,LeftHandToFace,3
robot,22,LeftHandToFace,2
robot,23,LeftHandToFace,3
robot,24,LeftHandToFace,3
robot,25,LeftHandToFace,5
robot,26,LeftHandToFace,3
robot,27,LeftHandToFace,4
robot,28,LeftHandToFace,1
robot,29,LeftHandToFace,3
robot,30,LeftHandToFace,3
